DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Dissolved Chloride,16887-00-6,,1.57,1,mg/L,EPA 300.0 [1]*,.15 Meters,"Water, Natural",Normal Sample,0,,,N
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Specific Conductance,0,,79.5,5,µmhos/cm@25°C,Std Method 2510-B [1]*,.15 Meters,"Water, Natural",Normal Sample,0,,,N
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Total Dissolved Solids,0,,66,2.5,mg/L,Std Method 2540 C [1]*,.15 Meters,"Water, Natural",Normal Sample,0,,,N
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Total Suspended Solids,0,,7,2.5,mg/L,Std Method 2540 D [1]*,.15 Meters,"Water, Natural",Normal Sample,0,,,N
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Dissolved Sulfate,14808-79-8,,1.56,1,mg/L,EPA 300.0 [1]*,.15 Meters,"Water, Natural",Normal Sample,0,,,N
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Field Specific Conductance,0,, 100,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,.15 Meters,"Water, Natural",Normal Sample,0,,,
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Field Dissolved Oxygen,0,, 11.5,,mg/L,ASTM Method D888-09-C (Field) [1]*,.15 Meters,"Water, Natural",Normal Sample,0,,,
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Field pH,0,, 7.7,,pH Units,SM 4500-H B-2000 (Field) [1]*,.15 Meters,"Water, Natural",Normal Sample,0,,,
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Field Water Temperature,0,, 9.2,,°C,EPA 170.1 (Field) [1]*,.15 Meters,"Water, Natural",Normal Sample,0,,,
4804,"3000 - Public, Review Status Unknown",CHICO C BIG A CHICO ,CHICO C BIG A CHICO ,A0425000,N0224B0085,02/06/2024 07:27,Field Turbidity,0,, 3.6,,F.N.U.,"Turbidity, Sonde [D-2]*",.15 Meters,"Water, Natural",Normal Sample,0,,,
