DataOwner,DataStatus,LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,LabDup,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes,ResultRejected
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Dissolved Bromide,24959-67-9,,<0.1,0.1,mg/L,EPA 300.0 [1]*,245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Dissolved Chloride,16887-00-6,,20.3,1,mg/L,EPA 300.0 [1]*,245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Specific Conductance,0,,655,5,µmhos/cm@25°C,Std Method 2510-B [1]*,245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Total Dissolved Solids,0,,382,2.5,mg/L,Std Method 2540 C [1]*,245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Dissolved Sulfate,14808-79-8,,18.9,7.5,mg/L,EPA 300.0 [1]*,245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,N
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Field Specific Conductance,0,, 664,,uS/cm@25 °C,EPA 120.1 (Field) [1]*,245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Field Dissolved Oxygen,0,, 5.32,,mg/L,ASTM Method D888-09-C (Field) [1]*,245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Field pH,0,, 7.71,,pH Units,SM 4500-H B-2000 (Field) [1]*,245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Field Water Temperature,0,, 17.7,,°C,EPA 170.1 (Field) [1]*,245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
6200,"3000 - Public, Review Status Unknown",11N02W22H500M,YSGA-01 Shallow,11N02W22H500M,CH0124B0001,01/18/2024 10:00,Field Turbidity,0,, 18.6,,F.N.U.,"Turbidity, Sonde [D-2]*",245 Feet,"Water, Natural",Normal Sample,0,"All Specific Conductance data collected during run on 1/18/2024 do not meet blank validation standards. Specific Conductance blank result was 18.5 umhos/cm at 25 degrees Celsius.

All Dissolved Chromium, Dissolved Iron, Dissolved Nickel, and Dissolved Manganese data collected during run on 1/18/2024 may be cross-contaminated from exposure to grade 302 stainless steel comprising the sampling device weight and spring clip.",,
